ra dec shotid ifuslot amp wl fibnum detectid cat cat2 gmag flux fwhm
194.5681610107422 51.46025848388672 20180511024 105 RL 4605.39013671875 92 1000308734 N/A good 26.700064056741223 20.450000762939453 4.889999866485596
194.36830139160156 51.305763244628906 20180511024 33 RU 4850.77001953125 69 1000308748 N/A good 24.20416727149915 11.720000267028809 2.430000066757202
194.5199432373047 51.231544494628906 20180511024 27 RL 4574.3701171875 100 1000308924 N/A good 23.53525100052729 15.479999542236328 2.8299999237060547
194.4542694091797 51.43400573730469 20180511024 83 RU 4200.2998046875 68 1000308926 N/A good 24.246988714404086 23.920000076293945 4.710000038146973
206.07835388183594 51.39808654785156 20180511026 74 RU 4590.0 49 1000309354 N/A good 25.257591111539497 14.3100004196167 2.75
198.79554748535156 51.32981872558594 20180513007 43 RU 4640.6201171875 57 1000321347 N/A good 28.898396728104785 9.40999984741211 3.1500000953674316
198.88009643554688 51.48412322998047 20180513007 103 RL 4848.85009765625 46 1000321351 N/A good 24.61380492014711 28.8700008392334 3.8399999141693115
198.92251586914062 51.382728576660156 20180513007 75 RL 4405.2001953125 58 1000321376 N/A good 24.087610535191782 15.229999542236328 3.2699999809265137
198.94732666015625 51.28169250488281 20180513007 47 LL 4715.419921875 60 1000321381 N/A good 24.948614230231097 9.029999732971191 3.190000057220459
198.7046661376953 51.28058624267578 20180513007 22 LU 3664.659912109375 83 1000321394 N/A good 27.100601005896138 16.81999969482422 3.200000047683716
198.7516326904297 51.34098815917969 20180513007 42 RU 4090.330078125 74 1000321415 N/A good 24.593816261085443 9.399999618530273 2.630000114440918
198.85513305664062 51.27121353149414 20180513007 35 LU 4333.0498046875 93 1000321517 N/A good 29.254622835073274 9.460000038146973 4.070000171661377
198.97622680664062 51.46263885498047 20180513007 105 RU 5370.68017578125 72 1000321539 N/A good 25.37854697285253 12.270000457763672 2.8299999237060547
198.7521514892578 51.280235290527344 20180513007 23 RU 4799.85009765625 68 1000321558 N/A good 24.0296045742048 16.450000762939453 4.820000171661377
198.75953674316406 51.303279876708984 20180513007 33 RL 3829.320068359375 87 1000321656 N/A good 26.612027831368508 25.18000030517578 3.450000047683716
205.5882110595703 51.329864501953125 20180513008 43 RU 4084.429931640625 92 1000321697 N/A good 24.439276263273825 30.719999313354492 3.0199999809265137
205.71192932128906 51.37797164916992 20180513008 75 LU 4537.10009765625 44 1000321698 N/A good 28.87562703326096 11.0 3.2699999809265137
205.66354370117188 51.239444732666016 20180513008 26 LU 4305.2998046875 61 1000321721 N/A good 24.429321561232026 22.989999771118164 3.8399999141693115
205.6853485107422 51.39753341674805 20180513008 74 RU 4356.4599609375 36 1000321740 N/A good 24.697620301651252 21.8799991607666 3.069999933242798
205.62220764160156 51.38224411010742 20180513008 63 RU 5482.9599609375 71 1000321825 N/A good 24.598293686973584 13.300000190734863 3.609999895095825
205.6638946533203 51.23955535888672 20180513008 26 LU 4305.02978515625 61 1000321841 N/A good 24.924259525815895 17.59000015258789 3.990000009536743
205.54432678222656 51.34394836425781 20180513008 42 RU 3936.93994140625 29 1000321955 N/A good 24.69364668926461 24.260000228881836 6.239999771118164
205.58824157714844 51.33293533325195 20180513008 43 RU 4496.6298828125 12 1000321992 N/A good 26.162781242371487 10.529999732971191 4.059999942779541
205.77381896972656 51.46435546875 20180513008 105 RU 3881.830078125 31 1000321998 N/A good 24.952320557035932 16.280000686645508 3.5399999618530273
211.20184326171875 51.294273376464844 20180513009 34 RU 4770.5498046875 66 1000322065 N/A good 23.970818435380327 23.209999084472656 4.579999923706055
211.28256225585938 51.47740936279297 20180513009 103 LU 4630.31982421875 22 1000322091 N/A good 25.399597894254747 13.300000190734863 6.0
211.20179748535156 51.2943229675293 20180513009 34 RU 4770.56005859375 66 1000322095 N/A good 23.957501392707485 21.260000228881836 4.289999961853027
211.2622833251953 51.30613327026367 20180513009 45 RL 4156.740234375 109 1000322122 N/A good 24.124713235756392 22.75 3.0399999618530273
211.1703338623047 51.36467742919922 20180513009 52 RL 3885.2099609375 3 1000322127 N/A good 24.09327197476072 23.510000228881836 2.990000009536743
211.27322387695312 51.398658752441406 20180513009 74 RU 4441.259765625 82 1000322244 N/A good 24.221135983900545 12.949999809265137 3.049999952316284
211.2401885986328 51.39592742919922 20180513009 73 LU 5002.6201171875 91 1000322268 N/A good 25.136658803431988 8.890000343322754 2.569999933242798
211.2632598876953 51.23997116088867 20180513009 26 LU 5307.06005859375 58 1000322270 N/A good 26.59422823678133 8.550000190734863 3.2799999713897705
211.2439422607422 51.426025390625 20180513009 83 LU 4529.14013671875 58 1000322284 N/A good 24.250934649320136 14.729999542236328 3.8399999141693115
217.35008239746094 51.372467041015625 20180513010 76 LL 4764.43017578125 33 1000322486 N/A good 25.345283216905766 12.220000267028809 2.7899999618530273
